EVENT_NUMBER	SIZE	DISTANCE	LENGTH	WIDTH	AZWIDTH	MISS	ALPHA
3836	808.173	94.349	52.839	34.851	9862.074	65.822	44.267
3837	1579.833	167.473	87.495	51.64	31235.116	71.816	25.404
3838	737.173	95.155	53.145	35.644	10006.712	69.116	46.552
3839	1602.796	161.552	86.451	52.097	29277.83	63.233	23.017
3840	788.976	93.362	51.373	34.753	9643.882	64.612	43.789
3841	784.789	146.162	51.327	34.807	22614.354	29.733	11.712
3842	916.357	92.109	49.162	32.682	9337.99	62.595	42.844
3843	862.096	88.935	49.077	31.052	8715.157	62.584	44.749
3844	748.327	93.363	51.3	34.386	9640.019	64.297	43.551
3845	692.987	94.03	53.242	33.825	9771.926	67.696	46.054
3846	733.184	93.821	51.423	34.701	9738.515	64.118	43.079
3847	765.038	94.152	52.652	33.789	9789.345	67.024	45.398
3848	505.08	327.063	39.397	36.345	107710.632	175.565	32.48
3849	512.211	335.568	40.409	36.113	113361.35	199.645	36.513
3850	874.399	91.793	48.552	31.394	9236.128	63.626	43.868
3851	734.628	97.334	51.852	34.828	10422.025	66.922	43.472
3852	808.029	92.96	50.47	36.025	9558.905	65.233	44.588
3853	716.935	93.152	50.157	35.657	9620.39	60.617	40.617
3854	786.728	95.818	50.567	35.752	10141.791	61.972	40.316
3855	1346.214	108.308	94.012	38.896	13097.62	97.572	64.29
